Time (s),Rel X (m),Rel Y (m)
0.156193,0.114406,0.128011
0.160198,0.113766,0.127516
0.164203,0.113177,0.127039
0.168208,0.112644,0.126579
0.172213,0.112171,0.126130
0.176218,0.111762,0.125689
0.180223,0.111422,0.125252
0.184228,0.111153,0.124815
0.188233,0.110956,0.124374
0.192238,0.110830,0.123928
0.196243,0.110774,0.123473
0.200248,0.110782,0.123012
0.204253,0.110851,0.122547
0.208258,0.110975,0.122080
0.212263,0.111147,0.121619
0.216268,0.111356,0.121167
0.220273,0.111590,0.120734
0.224278,0.111834,0.120327
0.228283,0.112074,0.119954
0.232287,0.112294,0.119622
0.236292,0.112480,0.119337
0.240297,0.112615,0.119102
0.244302,0.112688,0.118922
0.248307,0.112683,0.118799
0.252312,0.112592,0.118735
0.256317,0.112405,0.118732
0.260322,0.112119,0.118791
0.264327,0.111727,0.118914
0.268332,0.111228,0.119102
0.272337,0.110622,0.119357
0.276342,0.109912,0.119678
0.280347,0.109102,0.120065
0.284352,0.108198,0.120515
0.288357,0.107206,0.121026
0.292362,0.106131,0.121595
0.296367,0.104978,0.122218
0.300372,0.103753,0.122895
0.304377,0.102462,0.123622
0.308382,0.101114,0.124400
0.312387,0.099717,0.125229
0.316392,0.098281,0.126105
0.320397,0.096816,0.127030
0.324401,0.095334,0.128002
0.328406,0.093846,0.129022
0.332411,0.092364,0.130091
0.336416,0.090896,0.131210
0.340421,0.089451,0.132380
0.344426,0.088033,0.133603
0.348431,0.086649,0.134881
0.352436,0.085300,0.136212
0.356441,0.083990,0.137597
0.360446,0.082719,0.139036
0.364451,0.081485,0.140529
0.368456,0.080288,0.142072
0.372461,0.079126,0.143662
0.376466,0.077995,0.145295
0.380471,0.076892,0.146965
0.384476,0.075814,0.148664
0.388481,0.074758,0.150388
0.392486,0.073720,0.152132
0.396491,0.072695,0.153889
0.400496,0.071681,0.155655
0.404501,0.070675,0.157424
0.408506,0.069670,0.159192
0.412511,0.068664,0.160952
0.416515,0.067655,0.162701
0.420520,0.066643,0.164433
0.424525,0.065629,0.166142
0.428530,0.064616,0.167824
0.432535,0.063606,0.169472
0.436540,0.062606,0.171079
0.440545,0.061619,0.172637
0.444550,0.060649,0.174143
0.448555,0.059694,0.175594
0.452560,0.058751,0.176989
0.456565,0.057814,0.178330
0.460570,0.056874,0.179620
0.464575,0.055921,0.180861
0.468580,0.054948,0.182055
0.472585,0.053946,0.183204
0.476590,0.052908,0.184308
0.480595,0.051828,0.185368
0.484600,0.050699,0.186384
0.488605,0.049518,0.187359
0.492610,0.048285,0.188294
0.496615,0.047004,0.189192
0.500620,0.045681,0.190055
0.504625,0.044326,0.190884
0.508629,0.042952,0.191680
0.512634,0.041569,0.192444
0.516639,0.040193,0.193174
0.520644,0.038840,0.193869
0.524649,0.037530,0.194527
0.528654,0.036282,0.195143
0.532659,0.035117,0.195712
0.536664,0.034051,0.196230
0.540669,0.033100,0.196691
0.544674,0.032280,0.197091
0.548679,0.031603,0.197425
0.552684,0.031079,0.197691
0.556689,0.030715,0.197889
0.560694,0.030515,0.198020
0.564699,0.030479,0.198085
0.568704,0.030602,0.198085
